task_id,smiles,smiles_sha256
S000001,*C*,f36d57fccdfc96615be8815c437efe95a1757f36f5c8d55954a1d3b2232def7e
S000002,*CC(*)C,6e545ca8b11c4c21186b364ce74ab21b636ee412a9f8f9671db4e83ddf499945
S000003,*CC(*)CC,e55e25032750ba4eea7b1562c1dd121705e20d742fc7ad099a69a4f0ce4380ac
S000004,*CC(*)CCC,bd578e3eb80fd2c54849e11f064bb140a8cfaa935e74b07b88e560367b655d0c
S000005,*CC(*)C(C)C,cd2add9f52b3e22a11a85cf543ece56e1177f67d358e331a296fcf75b8943303
S000006,*CC(*)CCCC,0afbfbe8df1cbb41998e36bf02a70edede5be2a6b74a349d00401aeb83f28128
S000007,*CC(*)CC(C)C,ce2b8672b0f0f7d75f808b47abdcf62727b4d4f7e0d053faeb2a18bdf7fbcd3d
S000008,*CC(*)CCCCC,e86e7022ac46d716fcc941b97c2c08083152dafb110a4476ab7147c6d9f63820
S000009,*CC(*)CCC(C)C,9a3bdb1d448e96809518b70cc53413089a954196fad3b3b9f50e3c2ef314e289
S000010,*CC(*)CCC(C)CC,ddb2ff399d1628d1dd85b8766a9ab50761177ecf702c4fac1fb3c1d63e96a422
S000011,*CC(*)CCCCCCC,5e72adc0ef42f2b23d705db7b123bd746eb00724b194d533c1c7a962dbc1b752
S000012,*CC(*)CCCCCCCC,a19d3c5f6223d35f97b04e6da841f583b4407eb4e9de9056d2dbadffc8ad192e
S000013,*CC(*)(C)C,965d20093538437a53b78421dc4bf3b40708c114b362d58e0bb7b9cc02683c29
S000014,*CCC(*)(C)C,15000f8613ef062df1459e054acbcf1ba03108f659d7ff168cead5e4bacd5423
S000015,*CC(*)C1CC1,9a163193e919122cd726353489b5b157683e54ea6d6541171145176b75466568
S000016,*CC(*)C1CCCC1,839a06a30b29b962bfb6cca1b37a56780d7da1ef4a7bb9c73a1e5353849f34cf
S000017,*CC(*)CC1CCCC1,ac569e3098b724ca215f82e30057e6be530216e246c49913d1451e236dd545d2
S000018,*CC(*)C1CCCCC1,c2275aa05f73cfc12140fca4b496731727ac8fb0faeec7535edbccb4963106ca
S000019,*CC(*)CC1CCCCC1,8eb7ce0343949a8f2a5c940785b886e0027813044af87c6b0d38498f917f11b5
S000020,*CC(*)Cc1ccccc1,2179db3470e12df32fb4195660b2d1c561c45ac4831a41916085f53c17232523
S000021,*CC(*)CCc1ccccc1,963efa1ad8ab69988433e4b5f67c7250c10f228e0742a56c676a034fe2fa82c5
S000022,*CC1CCC(*)C1,3afb8c06c0f2d1b008bf9c9e7e357e367eb96f3a2967df8dc48cfe4fa59b97a7
S000023,*CC(*)CCCCCC,9a3f0e4da8c4e3a1692c5c824bcd74eb977ec3ea86044e0b7e3e9286d0c923fa
S000024,*CC(*)CCCCCCCCCCCCCCCC,e3daefaa5683d51bb278dbae217d659c20a4f73ceaaac8e79a2ebb090998ae82
S000025,*CC(*)C(C)CC,017ad7d420ce58ed337d92092af26485ffc21c26383190bf83882b62d9c23bb5
S000026,*CC(*)C(CC)CC,5ff61e424a7a530721102228dff550886120dfbf8dc70449df03a872a7158d0c
S000027,*CC(*)CC(CC)CC,fe83359dd9a045a2bf68468d8de2d74e183c57f02368eda08170e832812ce078
S000028,*CC(*)CC(C)CC,88f04c737add2d5881c15464057bc385933fe065b15334ef3863cbd66be2484c
S000029,*CC(*)CC(C)(C)C,4278a5613b60ec77ea652da0a96fe7b1257bbd6eee84d16395d3ed51d23738b1
